app,category,scenario,simT,precision,recall
a11,Browser,b12,0.15,50.00,33.33
a11,Browser,b12,0.15,50.00,33.33
a11,Browser,b12,0.15,50.00,100.00
a11,Browser,b12,0.15,50.00,100.00
a11,Browser,b12,0.15,50.00,100.00
a11,Browser,b12,0.15,50.00,33.33
a11,Browser,b12,0.15,50.00,33.33
a11,Browser,b12,0.15,50.00,33.33
a11,Browser,b12,0.15,50.00,33.33
a11,Browser,b12,0.15,50.00,33.33
a14,Browser,b12,0.15,50.00,33.33
a14,Browser,b12,0.15,50.00,33.33
a14,Browser,b12,0.15,50.00,33.33
a14,Browser,b12,0.15,50.00,33.33
a14,Browser,b12,0.15,50.00,33.33
a14,Browser,b12,0.15,50.00,33.33
a14,Browser,b12,0.15,50.00,33.33
a14,Browser,b12,0.15,50.00,33.33
a14,Browser,b12,0.15,50.00,33.33
a14,Browser,b12,0.15,50.00,33.33
a13,Browser,b12,0.15,50.00,25.00
a13,Browser,b12,0.15,50.00,25.00
a13,Browser,b12,0.15,50.00,25.00
a13,Browser,b12,0.15,50.00,25.00
a13,Browser,b12,0.15,33.33,75.00
a13,Browser,b12,0.15,50.00,25.00
a13,Browser,b12,0.15,33.33,75.00
a13,Browser,b12,0.15,30.00,75.00
a13,Browser,b12,0.15,50.00,25.00
a13,Browser,b12,0.15,50.00,25.00
a24,To Do List,b21,0.30,100.00,100.00
a24,To Do List,b21,0.30,100.00,100.00
a24,To Do List,b21,0.30,100.00,100.00
a24,To Do List,b21,0.30,100.00,100.00
a24,To Do List,b21,0.30,100.00,100.00
a24,To Do List,b21,0.30,100.00,100.00
a24,To Do List,b21,0.30,100.00,100.00
a24,To Do List,b21,0.30,100.00,100.00
a24,To Do List,b21,0.30,100.00,100.00
a24,To Do List,b21,0.30,100.00,100.00
a23,To Do List,b21,0.30,80.00,100.00
a23,To Do List,b21,0.30,80.00,100.00
a23,To Do List,b21,0.30,80.00,100.00
a23,To Do List,b21,0.30,52.63,100.00
a23,To Do List,b21,0.30,80.00,100.00
a23,To Do List,b21,0.30,80.00,100.00
a23,To Do List,b21,0.30,80.00,100.00
a23,To Do List,b21,0.30,80.00,100.00
a23,To Do List,b21,0.30,80.00,100.00
a23,To Do List,b21,0.30,80.00,100.00
a21,To Do List,b21,0.30,100.00,100.00
a21,To Do List,b21,0.30,100.00,100.00
a21,To Do List,b21,0.30,100.00,100.00
a21,To Do List,b21,0.30,100.00,100.00
a21,To Do List,b21,0.30,100.00,100.00
a21,To Do List,b21,0.30,100.00,100.00
a21,To Do List,b21,0.30,100.00,100.00
a21,To Do List,b21,0.30,100.00,100.00
a21,To Do List,b21,0.30,100.00,100.00
a21,To Do List,b21,0.30,100.00,100.00
a25,To Do List,b21,0.30,100.00,100.00
a25,To Do List,b21,0.30,100.00,100.00
a25,To Do List,b21,0.30,100.00,100.00
a25,To Do List,b21,0.30,100.00,100.00
a25,To Do List,b21,0.30,100.00,100.00
a25,To Do List,b21,0.30,100.00,100.00
a25,To Do List,b21,0.30,100.00,100.00
a25,To Do List,b21,0.30,100.00,100.00
a25,To Do List,b21,0.30,100.00,100.00
a25,To Do List,b21,0.30,100.00,100.00
a22,To Do List,b21,0.30,50.00,100.00
a22,To Do List,b21,0.30,50.00,100.00
a22,To Do List,b21,0.30,50.00,100.00
a22,To Do List,b21,0.30,50.00,100.00
a22,To Do List,b21,0.30,50.00,100.00
a22,To Do List,b21,0.30,50.00,100.00
a22,To Do List,b21,0.30,50.00,100.00
a22,To Do List,b21,0.30,50.00,100.00
a22,To Do List,b21,0.30,50.00,100.00
a22,To Do List,b21,0.30,50.00,100.00
a24,To Do List,b21,0.20,100.00,100.00
a24,To Do List,b21,0.20,100.00,100.00
a24,To Do List,b21,0.20,100.00,100.00
a24,To Do List,b21,0.20,100.00,100.00
a24,To Do List,b21,0.20,100.00,100.00
a24,To Do List,b21,0.20,80.00,100.00
a24,To Do List,b21,0.20,100.00,100.00
a24,To Do List,b21,0.20,100.00,100.00
a24,To Do List,b21,0.20,100.00,100.00
a23,To Do List,b21,0.20,50.00,75.00
a23,To Do List,b21,0.20,80.00,100.00
a23,To Do List,b21,0.20,80.00,100.00
a23,To Do List,b21,0.20,80.00,100.00
a23,To Do List,b21,0.20,80.00,100.00
a23,To Do List,b21,0.20,80.00,100.00
a23,To Do List,b21,0.20,80.00,100.00
a23,To Do List,b21,0.20,80.00,100.00
a23,To Do List,b21,0.20,80.00,100.00
a21,To Do List,b21,0.20,100.00,100.00
a21,To Do List,b21,0.20,100.00,100.00
a21,To Do List,b21,0.20,100.00,100.00
a21,To Do List,b21,0.20,100.00,100.00
a21,To Do List,b21,0.20,100.00,100.00
a21,To Do List,b21,0.20,100.00,100.00
a21,To Do List,b21,0.20,100.00,100.00
a21,To Do List,b21,0.20,100.00,100.00
a21,To Do List,b21,0.20,100.00,100.00
a21,To Do List,b21,0.20,100.00,100.00
a25,To Do List,b21,0.20,75.00,100.00
a25,To Do List,b21,0.20,75.00,100.00
a25,To Do List,b21,0.20,75.00,100.00
a25,To Do List,b21,0.20,75.00,100.00
a25,To Do List,b21,0.20,75.00,100.00
a25,To Do List,b21,0.20,75.00,100.00
a25,To Do List,b21,0.20,75.00,100.00
a25,To Do List,b21,0.20,75.00,100.00
a25,To Do List,b21,0.20,75.00,100.00
a22,To Do List,b21,0.20,100.00,100.00
a22,To Do List,b21,0.20,100.00,100.00
a22,To Do List,b21,0.20,100.00,100.00
a22,To Do List,b21,0.20,100.00,100.00
a22,To Do List,b21,0.20,100.00,100.00
a22,To Do List,b21,0.20,100.00,100.00
a22,To Do List,b21,0.20,100.00,100.00
a22,To Do List,b21,0.20,100.00,100.00
a22,To Do List,b21,0.20,100.00,100.00
a24,To Do List,b21,0.25,100.00,100.00
a24,To Do List,b21,0.25,100.00,100.00
a24,To Do List,b21,0.25,100.00,100.00
a24,To Do List,b21,0.25,100.00,100.00
a24,To Do List,b21,0.25,100.00,100.00
a24,To Do List,b21,0.25,100.00,100.00
a24,To Do List,b21,0.25,100.00,100.00
a24,To Do List,b21,0.25,100.00,100.00
a24,To Do List,b21,0.25,100.00,100.00
a24,To Do List,b21,0.25,100.00,100.00
a23,To Do List,b21,0.25,70.00,100.00
a23,To Do List,b21,0.25,70.00,100.00
a23,To Do List,b21,0.25,70.00,100.00
a23,To Do List,b21,0.25,70.00,100.00
a23,To Do List,b21,0.25,70.00,100.00
a23,To Do List,b21,0.25,70.00,100.00
a23,To Do List,b21,0.25,70.00,100.00
a23,To Do List,b21,0.25,70.00,100.00
a23,To Do List,b21,0.25,47.62,100.00
a23,To Do List,b21,0.25,70.00,100.00
a21,To Do List,b21,0.25,100.00,100.00
a21,To Do List,b21,0.25,100.00,100.00
a21,To Do List,b21,0.25,100.00,100.00
a21,To Do List,b21,0.25,100.00,100.00
a21,To Do List,b21,0.25,100.00,100.00
a21,To Do List,b21,0.25,100.00,100.00
a21,To Do List,b21,0.25,100.00,100.00
a21,To Do List,b21,0.25,100.00,100.00
a21,To Do List,b21,0.25,100.00,100.00
a21,To Do List,b21,0.25,100.00,100.00
a25,To Do List,b21,0.25,100.00,100.00
a25,To Do List,b21,0.25,100.00,100.00
a25,To Do List,b21,0.25,100.00,100.00
a25,To Do List,b21,0.25,100.00,100.00
a25,To Do List,b21,0.25,100.00,100.00
a25,To Do List,b21,0.25,100.00,100.00
a25,To Do List,b21,0.25,100.00,100.00
a25,To Do List,b21,0.25,100.00,100.00
a25,To Do List,b21,0.25,100.00,100.00
a25,To Do List,b21,0.25,100.00,100.00
a22,To Do List,b21,0.25,50.00,100.00
a22,To Do List,b21,0.25,50.00,100.00
a22,To Do List,b21,0.25,50.00,100.00
a22,To Do List,b21,0.25,50.00,100.00
a22,To Do List,b21,0.25,50.00,100.00
a22,To Do List,b21,0.25,50.00,100.00
a22,To Do List,b21,0.25,50.00,100.00
a22,To Do List,b21,0.25,50.00,100.00
a22,To Do List,b21,0.25,50.00,100.00
a22,To Do List,b21,0.25,50.00,100.00
a24,To Do List,b21,0.10,66.67,66.67
a24,To Do List,b21,0.10,66.67,66.67
a24,To Do List,b21,0.10,66.67,66.67
a24,To Do List,b21,0.10,66.67,66.67
a24,To Do List,b21,0.10,66.67,66.67
a24,To Do List,b21,0.10,50.00,66.67
a24,To Do List,b21,0.10,60.00,100.00
a24,To Do List,b21,0.10,50.00,66.67
a24,To Do List,b21,0.10,66.67,66.67
a24,To Do List,b21,0.10,66.67,66.67
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,66.67,50.00
a23,To Do List,b21,0.10,83.33,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,83.33,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a23,To Do List,b21,0.10,80.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a21,To Do List,b21,0.10,100.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a25,To Do List,b21,0.10,75.00,100.00
a22,To Do List,b21,0.10,75.00,100.00
a22,To Do List,b21,0.10,33.33,100.00
a22,To Do List,b21,0.10,75.00,100.00
a22,To Do List,b21,0.10,33.33,100.00
a22,To Do List,b21,0.10,33.33,100.00
a22,To Do List,b21,0.10,33.33,100.00
a22,To Do List,b21,0.10,75.00,100.00
a22,To Do List,b21,0.10,33.33,100.00
a22,To Do List,b21,0.10,75.00,100.00
a22,To Do List,b21,0.10,33.33,100.00
a22,To Do List,b21,0.10,75.00,100.00
a22,To Do List,b21,0.10,33.33,100.00
a22,To Do List,b21,0.10,33.33,100.00
a22,To Do List,b21,0.10,75.00,100.00
a22,To Do List,b21,0.10,75.00,100.00
a22,To Do List,b21,0.10,33.33,100.00
a22,To Do List,b21,0.10,33.33,100.00
a22,To Do List,b21,0.10,75.00,100.00
a22,To Do List,b21,0.10,75.00,100.00
a22,To Do List,b21,0.10,75.00,100.00
a24,To Do List,b21,0.15,75.00,100.00
a24,To Do List,b21,0.15,100.00,100.00
a24,To Do List,b21,0.15,100.00,100.00
a24,To Do List,b21,0.15,100.00,100.00
a24,To Do List,b21,0.15,100.00,100.00
a23,To Do List,b21,0.15,80.00,100.00
a23,To Do List,b21,0.15,80.00,100.00
a23,To Do List,b21,0.15,80.00,100.00
a23,To Do List,b21,0.15,80.00,100.00
a23,To Do List,b21,0.15,80.00,100.00
a21,To Do List,b21,0.15,100.00,100.00
a21,To Do List,b21,0.15,100.00,100.00
a21,To Do List,b21,0.15,100.00,100.00
a21,To Do List,b21,0.15,100.00,100.00
a21,To Do List,b21,0.15,100.00,100.00
a25,To Do List,b21,0.15,75.00,100.00
a25,To Do List,b21,0.15,75.00,100.00
a25,To Do List,b21,0.15,75.00,100.00
a25,To Do List,b21,0.15,75.00,100.00
a25,To Do List,b21,0.15,75.00,100.00
a22,To Do List,b21,0.15,42.86,100.00
a22,To Do List,b21,0.15,42.86,100.00
a22,To Do List,b21,0.15,42.86,100.00
a22,To Do List,b21,0.15,42.86,100.00
a22,To Do List,b21,0.15,42.86,100.00
a24,To Do List,b22,0.30,36.96,100.00
a24,To Do List,b22,0.30,36.96,100.00
a24,To Do List,b22,0.30,36.96,100.00
a24,To Do List,b22,0.30,36.96,100.00
a24,To Do List,b22,0.30,36.96,100.00
a24,To Do List,b22,0.30,51.61,100.00
a24,To Do List,b22,0.30,36.96,100.00
a24,To Do List,b22,0.30,36.96,100.00
a24,To Do List,b22,0.30,36.96,100.00
a24,To Do List,b22,0.30,36.96,100.00
a23,To Do List,b22,0.30,64.71,100.00
a23,To Do List,b22,0.30,64.71,100.00
a23,To Do List,b22,0.30,80.00,66.67
a23,To Do List,b22,0.30,64.71,100.00
a23,To Do List,b22,0.30,52.63,66.67
a23,To Do List,b22,0.30,64.71,100.00
a23,To Do List,b22,0.30,80.00,66.67
a23,To Do List,b22,0.30,64.71,100.00
a23,To Do List,b22,0.30,64.71,100.00
a23,To Do List,b22,0.30,64.71,100.00
a21,To Do List,b22,0.30,100.00,100.00
a21,To Do List,b22,0.30,100.00,100.00
a21,To Do List,b22,0.30,100.00,100.00
a21,To Do List,b22,0.30,100.00,100.00
a21,To Do List,b22,0.30,100.00,100.00
a21,To Do List,b22,0.30,100.00,100.00
a21,To Do List,b22,0.30,100.00,100.00
a21,To Do List,b22,0.30,100.00,100.00
a21,To Do List,b22,0.30,100.00,100.00
a21,To Do List,b22,0.30,100.00,100.00
a25,To Do List,b22,0.30,100.00,100.00
a25,To Do List,b22,0.30,100.00,100.00
a25,To Do List,b22,0.30,100.00,100.00
a25,To Do List,b22,0.30,100.00,100.00
a25,To Do List,b22,0.30,100.00,100.00
a25,To Do List,b22,0.30,100.00,100.00
a25,To Do List,b22,0.30,100.00,100.00
